Country code,Country,Continent,Percentage of clean energy generated,Total emissions from power sector (mtCO2)
AFG,Afghanistan,Asia,83.02,0.15
ALB,Albania,Europe,100.0,0.12
DZA,Algeria,Africa,1.1,37.47
ASM,American Samoa,Oceania,0.0,0.11
AGO,Angola,Africa,68.58,2.51
ATG,Antigua and Barbuda,North America,2.94,0.23
ARG,Argentina,South America,32.11,46.38
ARM,Armenia,Asia,60.61,1.48
ABW,Aruba,South America,16.31,0.54
AUS,Australia,Oceania,21.37,145.42
AUT,Austria,Europe,77.11,11.37
AZE,Azerbaijan,Asia,6.87,12.91
BHS,Bahamas (the),North America,0.0,1.47
BHR,Bahrain,Asia,0.03,15.41
BGD,Bangladesh,Asia,1.54,42.68
BRB,Barbados,North America,3.92,0.69
BLR,Belarus,Europe,2.5,18.1
BEL,Belgium,Europe,68.23,17.19
BLZ,Belize,North America,55.95,0.31
BEN,Benin,Africa,5.0,0.13
BMU,Bermuda,North America,,0.0
BTN,Bhutan,Asia,100.0,0.21
BOL,Bolivia,South America,40.07,3.14
BIH,Bosnia Herzegovina,Europe,37.89,8.62
BWA,Botswana,Africa,0.0,2.44
BRA,Brazil,South America,85.01,76.17
BRN,Brunei Darussalam,Asia,0.0,3.06
BGR,Bulgaria,Europe,54.93,16.2
BFA,Burkina Faso,Africa,9.58,1.06
BDI,Burundi,Africa,66.67,0.09
CPV,Cabo Verde,Africa,19.15,0.27
KHM,Cambodia,Asia,53.1,3.35
CMR,Cameroon,Africa,64.19,2.22
CAN,Canada,North America,82.37,82.22
CYM,Cayman Islands (the),North America,2.86,0.48
CAF,Central African Republic (the),Africa,100.0,0.0
TCD,Chad,Africa,3.33,0.2
CHL,Chile,South America,41.65,32.88
CHN,China,Asia,31.66,4178.42
COL,Colombia,South America,69.47,16.23
COM,Comoros (the),Africa,0.0,0.07
COD,Congo (the Democratic Republic of the),Africa,99.67,0.24
COG,Congo (the),Africa,31.0,1.39
COK,Cook Islands (the),Oceania,25.0,0.02
CRI,Costa Rica,North America,98.07,0.43
CIV,Cote d'Ivoire,Africa,26.2,3.66
HRV,Croatia,Europe,65.95,3.02
CUB,Cuba,North America,19.56,11.38
CYP,Cyprus,Europe,10.1,3.26
CZE,Czechia,Europe,47.0,36.76
DNK,Denmark,Europe,78.19,6.06
DJI,Djibouti,Africa,0.0,0.04
DMA,Dominica,North America,22.22,0.05
DOM,Dominican Republic (the),North America,11.68,11.27
ECU,Ecuador,South America,80.51,5.11
EGY,Egypt,Africa,9.43,86.5
SLV,El Salvador,North America,69.53,1.55
GNQ,Equatorial Guinea,Africa,10.08,0.75
ERI,Eritrea,Africa,4.44,0.3
EST,Estonia,Europe,28.12,4.14
SWZ,Eswatini,Africa,93.94,0.14
ETH,Ethiopia,Africa,99.93,0.36
FLK,Falkland Islands (the) [Malvinas],South America,50.0,0.01
FRO,Faroe Islands (the),Europe,42.11,0.15
FJI,Fiji,Oceania,63.96,0.32
FIN,Finland,Europe,81.53,12.29
FRA,France,Europe,90.55,38.77
GUF,French Guiana,South America,,0.0
PYF,French Polynesia,Oceania,32.35,0.32
GAB,Gabon,Africa,58.47,0.92
GMB,Gambia (the),Africa,0.0,0.21
GEO,Georgia,Asia,76.99,1.52
DEU,Germany,Europe,52.6,216.76
GHA,Ghana,Africa,44.5,5.28
GIB,Gibraltar,Europe,,0.0
GRC,Greece,Europe,33.14,21.63
GRL,Greenland,North America,80.0,0.08
GRD,Grenada,North America,0.0,0.15
GLP,Guadeloupe,North America,,0.0
GUM,Guam,Oceania,3.95,1.19
GTM,Guatemala,North America,61.88,4.75
GIN,Guinea,Africa,63.59,0.56
GNB,Guinea-Bissau,Africa,0.0,0.06
GUY,Guyana,South America,13.79,0.73
HTI,Haiti,North America,13.27,0.6
HND,Honduras,North America,57.96,3.66
HKG,Hong Kong,Asia,0.03,24.45
HUN,Hungary,Europe,61.4,8.69
ISL,Iceland,Europe,100.0,0.55
IND,India,Asia,21.46,1034.86
IDN,Indonesia,Asia,16.26,184.9
IRN,Iran (Islamic Republic of),Asia,11.63,145.47
IRQ,Iraq,Asia,2.77,46.78
IRL,Ireland,Europe,38.42,10.3
ISR,Israel,Asia,5.0,38.12
ITA,Italy,Europe,39.75,102.57
JAM,Jamaica,North America,14.49,2.29
JPN,Japan,Asia,25.69,487.71
JOR,Jordan,Asia,15.81,8.51
KAZ,Kazakhstan,Asia,10.43,71.47
KEN,Kenya,Africa,88.24,1.19
KIR,Kiribati,Oceania,0.0,0.02
PRK,Korea (the Democratic People's Republic of),Asia,85.01,2.31
XKX,Kosovo,Europe,4.89,4.96
KWT,Kuwait,Asia,0.09,34.52
KGZ,Kyrgyzstan,Asia,92.32,1.26
LAO,Lao People's Democratic Republic (the),Asia,66.15,8.95
LVA,Latvia,Europe,49.53,1.85
LBN,Lebanon,Asia,4.1,11.11
LSO,Lesotho,Africa,100.0,0.01
LBR,Liberia,Africa,0.0,0.22
LBY,Libya,Africa,0.03,15.74
LTU,Lithuania,Europe,78.67,0.51
LUX,Luxembourg,Europe,74.77,0.22
MAC,Macao,Asia,0.0,0.41
MDG,Madagascar,Africa,40.22,0.81
MWI,Malawi,Africa,86.71,0.18
MYS,Malaysia,Asia,16.12,99.84
MDV,Maldives,Asia,0.0,0.43
MLI,Mali,Africa,35.23,1.57
MLT,Malta,Europe,10.14,0.93
MTQ,Martinique,North America,,0.0
MRT,Mauritania,Africa,25.27,0.96
MUS,Mauritius,Africa,19.48,1.92
MEX,Mexico,North America,21.97,140.67
MDA,Moldova,Europe,7.76,2.84
MNG,Mongolia,Asia,9.96,4.83
MNE,Montenegro,Europe,56.27,1.27
MSR,Montserrat,North America,0.0,0.01
MAR,Morocco,Africa,18.21,23.13
MOZ,Mozambique,Africa,79.72,2.42
MMR,Myanmar,Asia,49.52,7.52
NAM,Namibia,Africa,96.11,0.05
NRU,Nauru,Oceania,0.0,0.02
NPL,Nepal,Asia,100.01,0.1
NLD,Netherlands,Europe,22.11,54.91
NCL,New Caledonia,Oceania,13.62,1.83
NZL,New Zealand,Oceania,81.97,5.57
NIC,Nicaragua,North America,53.45,1.68
NER,Niger (the),Africa,3.45,0.39
NGA,Nigeria,Africa,21.01,11.7
NIU,Niue,Oceania,0.0,0.0
MKD,North Macedonia,Europe,22.82,3.43
NOR,Norway,Europe,97.95,4.63
OMN,Oman,Asia,0.0,17.65
PAK,Pakistan,Asia,41.49,43.11
PSE,"Palestine, State of",Asia,0.0,0.39
PAN,Panama,North America,66.94,3.03
PNG,Papua New Guinea,Oceania,21.78,2.25
PRY,Paraguay,South America,100.0,1.17
PER,Peru,South America,61.94,12.29
PHL,Philippines (the),Asia,22.44,58.15
POL,Poland,Europe,15.62,109.39
PRT,Portugal,Europe,53.0,15.26
PRI,Puerto Rico,North America,5.14,11.77
QAT,Qatar,Asia,0.08,22.97
REU,Reunion,Africa,,0.0
ROU,Romania,Europe,60.68,16.84
RUS,Russian Federation (the),Europe,36.78,396.14
RWA,Rwanda,Africa,48.11,0.4
SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa,,0.0
KNA,Saint Kitts and Nevis,North America,4.55,0.15
LCA,Saint Lucia,North America,0.0,0.24
SPM,Saint Pierre and Miquelon,North America,0.0,0.04
VCT,Saint Vincent and the Grenadines,North America,14.29,0.08
WSM,Samoa,Oceania,30.77,0.06
STP,Sao Tome and Principe,Africa,11.11,0.06
SAU,Saudi Arabia,Asia,0.06,191.41
SEN,Senegal,Africa,13.93,2.79
SRB,Serbia,Europe,28.51,21.65
SYC,Seychelles,Africa,0.0,0.34
SLE,Sierra Leone,Africa,90.47,0.01
SGP,Singapore,Asia,1.62,25.18
SVK,Slovakia,Europe,77.8,4.72
SVN,Slovenia,Europe,68.34,4.19
SLB,Solomon Islands,Oceania,0.0,0.07
SOM,Somalia,Africa,5.72,0.23
ZAF,South Africa,Africa,10.57,171.28
KOR,South Korea,Asia,31.06,270.88
SSD,South Sudan,Africa,0.0,0.39
ESP,Spain,Europe,58.82,65.96
LKA,Sri Lanka,Asia,34.04,7.75
SDN,Sudan (the),Africa,60.92,3.93
SUR,Suriname,South America,58.05,0.72
SWE,Sweden,Europe,98.0,7.92
CHE,Switzerland,Europe,94.63,3.78
SYR,Syrian Arab Republic (the),Asia,7.37,8.87
TWN,Taiwan,Asia,16.89,154.83
TJK,Tajikistan,Asia,93.04,1.43
TZA,"Tanzania, the United Republic of",Africa,40.24,2.87
THA,Thailand,Asia,15.12,90.28
TLS,Timor-Leste,Asia,0.0,0.0
TGO,Togo,Africa,16.67,0.32
TON,Tonga,Oceania,0.0,0.04
TTO,Trinidad and Tobago,North America,0.0,4.5
TUN,Tunisia,Africa,3.99,9.69
TUR,Turkey,Asia,43.68,124.64
TKM,Turkmenistan,Asia,0.0,11.53
TCA,Turks and Caicos Islands (the),Asia,0.0,0.17
UGA,Uganda,Africa,94.79,0.38
UKR,Ukraine,Europe,62.14,44.71
ARE,United Arab Emirates,Asia,2.75,61.84
GBR,United Kingdom,Europe,54.92,85.61
USA,United States of America,North America,37.69,1634.55
URY,Uruguay,South America,87.97,1.43
UZB,Uzbekistan,Asia,10.83,30.07
VUT,Vanuatu,Oceania,28.58,0.04
VEN,Venezuela (Bolivarian Republic of),South America,68.4,18.05
VNM,Viet Nam,Asia,26.93,115.55
VGB,Virgin Islands (British),North America,0.0,0.1
VIR,Virgin Islands (U.S.),North America,1.61,0.43
ESH,Western Sahara,Africa,0.0,0.0
YEM,Yemen,Asia,14.53,1.86
ZMB,Zambia,Africa,87.19,1.98
ZWE,Zimbabwe,Africa,67.64,3.26
